SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016447_000001,RUDOLPH,16447,Onto Innovation Inc.,1,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",4/28/2021,4/28/2021,4/20/2021,4/28/2021,4/28/2021,15,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 4/28/2021)",0,,0,"KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016469_000001,RUDOLPH,16469,Onto Innovation Inc.,1,262500003624-00,"(TRS3500) 3U, MB",4/28/2021,2/2/2021,4/19/2021,5/7/2021,4/28/2021,10,0,4250,"110500001074-00 stk, 13-508218-000 TS/DP WA 2/28 (SOH 4/28/2021)",0,,0,"KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016519_000003,RUDOLPH,16519,Onto Innovation Inc.,3,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",4/28/2021,4/28/2021,4/19/2021,4/28/2021,4/28/2021,17,0,85,NS (SOH 4/28/2021),70,,0,
0016567_000001,RUDOLPH,16567,Onto Innovation Inc.,1,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/28/2021,4/28/2021,4/23/2021,4/28/2021,4/28/2021,30,0,141,26-504580-001 DP WA 3/9 (SOH 4/28/2021),548,,0,
0016528_000001,LOCKCOL,16528,Lockheed Martin - Littleton,1,262500004257-00,THS4095 GEN3EXO 8231 1200W,4/23/2021,4/23/2021,4/22/2021,4/29/2021,4/29/2021,8,0,4100,268500001697-01 use -00 Noah? TS WA 3/1 (SOH 4/23/2021) MC for PS UC - Noah ?,0,,0,"WIP, KITTING"
0016528_000003,LOCKCOL,16528,Lockheed Martin - Littleton,3,/C,Default Item Code /C,4/23/2021,,4/22/2021,4/29/2021,4/29/2021,0,0,0,DPAS Rating: DX-A2 (SOH 4/23/2021),0,,0,
0016528_000004,LOCKCOL,16528,Lockheed Martin - Littleton,4,262500004255-00,THS4095 SEP8253 8259 1200W Fix,4/23/2021,4/23/2021,4/22/2021,4/29/2021,4/29/2021,8,0,12220,"110500002128-00, 268500001697-01, 92-508259-001, 26-004846-534 TS/DP WA 3/1 (SOH 4/23/2021)",0,,0,"WIP, CONVERT 8259-037 TO -001, KITTING"
0016600_000003,DAKTRON,16600,"Daktronics, Inc.",3,262500002478-00,TRC5005 TKL8255 8194 1550W,4/30/2021,3/19/2021,4/22/2021,4/29/2021,4/29/2021,1,0,6050,"110500001068-00, 26-004846-527, 111500001147-02 DP WA 3/19 (SOH 4/30/2021)",0,,0,"QA, BURN-IN, WIP, KITTING"
0016036_000007,IAIELTA,16036,ELTA \ Care of I.A.I.,7,262500003276-00,2025E200-001 Rev E01,1/25/2021,9/16/2020,3/29/2021,4/30/2021,4/30/2021,10,0,32476.62,CHANGE ORDER - USE 10 FROM SO# 14897,0,,0,"CONVERT -100 SYSTEMS TO -200 PER CUSTOMER, - SHIP 4 BY 4/16, 3 BY 5/30 AND LAST 3 BY 6/30"
0016053_000001,IBM,16053,IBM,1,198500001262-00,"IBM 16GB DDR4-2666, ECC, DIMM",3/29/2021,3/29/2021,3/29/2021,4/30/2021,4/30/2021,60,0,111,"HOLD by Cust - rto, IBM CELL, NS - IBM",0,,0,"ON HOLD - CUST MAY CANCEL, CONFIRM MODEL NEEDED, MOVE OUT IBM CELL"
0016399_000001,L3COMM,16399,"L3 Technologies, Inc.",1,262500003128-00,"(THS2085) 2U,8225-623,8227-038",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,1,0,11584,"111500001740-03 AF, 124500001001-00 ENg, 193500001207-02, 193500001045-00, 92-508225-600, 26-004846-498, 263500001487-00, 26-504580-002 TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,KITTING
0016399_000002,L3COMM,16399,"L3 Technologies, Inc.",2,262500003153-00,"5U, 8225-018, 8237",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,2,0,41911,"124500001001-00, Eng, 268500001115-00 stk, 92-508225-200, 26-004846-458, TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,KITTING
0016399_000003,L3COMM,16399,"L3 Technologies, Inc.",3,262500003154-00,"5U, 8225-218, 8236-037",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,1,0,23633,"11-001768-001, 124500001001-00 Eng, 193500001207-02, 263500001487-00, 268500001075-01, 92-508225-200, 26-004846-458, TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,KITTING
0016399_000004,L3COMM,16399,"L3 Technologies, Inc.",4,/C,Default Item Code /C,4/30/2021,,4/21/2021,4/30/2021,4/30/2021,0,0,0,DPAS Rating: DO-C9 (SOH 4/30/2021),0,,0,
0016399_000005,L3COMM,16399,"L3 Technologies, Inc.",5,/FAI INSP,First Article Insp Doc Req,4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,0,0,0,FAI INSP (SOH 4/30/2021),0,,0,
0016399_000007,L3COMM,16399,"L3 Technologies, Inc.",7,/SOURCE INSP,Customer Source Inspection Req,4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,0,0,0,SOURCE INSP (SOH 4/30/2021),0,,0,
0016572_000001,DAKTRON,16572,"Daktronics, Inc.",1,262500002478-00,TRC5005 TKL8255 8194 1550W,4/30/2021,3/10/2021,4/23/2021,4/30/2021,4/30/2021,9,0,6050,"26-004846-527, 111500001147-02, 111500001144-01 TS/DP WA 3/9 (SOH 4/30/2021)",0,,0,"QA, BURN-IN, WIP, KITTING"
0016576_000003,ECRIN,16576,Ecrin Systems,3,26-504590-001,"8GB DDR4-2400 DIMM, Reg., ECC,",4/30/2021,4/30/2021,4/22/2021,4/30/2021,4/30/2021,4,0,146,NS (SOH 4/30/2021),281,,0,
0016576_000004,ECRIN,16576,Ecrin Systems,4,26-504590-003,"32GB DDR4-2400 DIMM, Reg., ECC",4/30/2021,4/30/2021,4/22/2021,4/30/2021,4/30/2021,8,0,428,NS (SOH 4/30/2021),15,,0,
0016598_000001,ECRIN,16598,Ecrin Systems,1,92-825507200000,TKL E3-1275v6,4/30/2021,4/30/2021,4/23/2021,4/30/2021,4/30/2021,1,0,1450,26-004846-527 DP WA 3/18 (SOH 4/30/2021),0,,0,C
0016647_000001,EMETCOM,16647,Emet OEM Computing Ltd.,1,92-708700800000,BPG7087 CST,4/30/2021,4/30/2021,4/19/2021,4/30/2021,4/30/2021,17,0,917,NS (SOH 4/19/2021),23,,0,C
